Entity,Code,Year,Open dumps,Open burning,Controlled landfills,Sanitary landfills,Incinerated,Composted,Recycled
Nicaragua,NIC,2020,86.41235,13.58765,0,0,0,0,0
Niger,NER,2020,60.942837,37.598118,0,0,0,0,1.4590448
Nigeria,NGA,2020,59.13722,40.86278,0,0,0,0,0
Niue,NIU,2020,21.556334,8.545649,43.112667,13.010684,0,1.0747982,12.69987
Norfolk Island,NFK,2020,79.925,2.5,0,0,0,0.95,16.625
North Korea,PRK,2020,60.475475,27.073984,0,0,0,3.0976572,9.352886
North Macedonia,MKD,2020,24.946373,5.8475,49.892746,19.098873,0,0.07661,0.13789801
Northern Mariana Islands,MNP,2020,0,0,0,64.25549,0,0,35.744503
Norway,NOR,2020,0,0,0,5.7520003,51.8265,16.5231,25.8984
Oman,OMN,2020,99.99,0,0.01,0,0,0,0
Pakistan,PAK,2020,70.8,24,0,0,0,1.04,4.16
Palau,PLW,2020,22.207417,11.656621,44.414833,10.550796,0,0.8715895,10.298745
Palestine,PSE,2020,62.802,1.95,34.326,0,0,0.461,0.461
Panama,PAN,2020,27.653126,7.7865252,29.157051,35.4033,0,0,0
Papua New Guinea,PNG,2020,31.1,31.1,36.6,0,0,0,1.2
Paraguay,PRY,2020,24.184,12.25,45.002,18.564001,0,0,0
Peru,PER,2020,51.031727,4.2675,21.455494,19.92808,0,0,3.3172
Philippines,PHL,2020,40.75253,40.75253,0,0,0,0,18.494942
Poland,POL,2020,11.065,0,22.13,11.065,13.24,16.11,26.39
Portugal,PRT,2020,0,0,0,48.97,20.68,14.12,16.23
Puerto Rico,PRI,2020,21.74842,6.3034177,43.49684,15.4450035,0,0,13.006318
Qatar,QAT,2020,23.25,0,46.5,23.25,4,0,3
Reunion,REU,2020,15.593462,1.929436,31.186924,13.664026,9.479528,10.395168,17.751453
Romania,ROU,2020,21.5125,5.3215,43.025,16.191,2.133,6.714,5.103
Russia,RUS,2020,84.43077,3.9184961,7.8369923,0,0,0,3.8137393
Rwanda,RWA,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Saint Helena,SHN,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Saint Kitts and Nevis,KNA,2020,0.5,0.5,99,0,0,0,0
Saint Lucia,LCA,2020,0.775,0.775,98.35,0,0,0.1,0
Saint Martin (French part),MAF,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Saint Pierre,,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Saint Vincent and the Grenadines,VCT,2020,24.979527,3.069,49.959053,21.910524,0,0.0819,0
Samoa,WSM,2020,16.5,16.5,31,0,0,0,36
San Marino,SMR,2020,0,0,0,55.49404,0,0,44.50596
Sao Tome and Principe,STP,2020,58.48672,38.301662,0,0,0,0,3.2116182
Saudi Arabia,SAU,2020,0,0,85,0,0,0,15
Senegal,SEN,2020,54.1409,44.7677,1.0913999,0,0,0,0
Serbia,SRB,2020,24.858126,11.060978,49.71625,13.79715,0,0,0.567492
Seychelles,SYC,2020,22.8625,1.25,45.725,21.6125,0,8.55,0
Sierra Leone,SLE,2020,60.657734,37.079254,0,0,0,0.8459593,1.4170542
Singapore,SGP,2020,0,0,0,2,37,0,61
Sint Maarten (Dutch part),SXM,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Slovakia,SVK,2020,18.595,1.415,37.19,17.18,10.71,7.29,7.62
Slovenia,SVN,2020,8.303517,2.98279,16.607035,5.320728,16.009104,7.197528,43.579292
Solomon Islands,SLB,2020,50,50,0,0,0,0,0
Somalia,SOM,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
South Africa,ZAF,2020,19.1,19.1,55.192,0,0,0,6.6080003
South Korea,KOR,2020,0,0,0,16.0672,24.98,0.9992,57.953598
South Sudan,SSD,2020,58.83529,39.288666,0,0,0,0.7013025,1.1747417
Spain,ESP,2020,0,0,0,55.09,11.62,16.45,16.84
Sri Lanka,LKA,2020,66.7492,24,0,0,0,2.6,6.6507998
Sudan,SDN,2020,64.95521,35.044792,0,0,0,0,0
Suriname,SUR,2020,75.2,24.8,0,0,0,0,0
Svalbard,,2020,23.875376,6.035,47.75075,17.840376,2.070978,0,2.42752
Sweden,SWE,2020,0,0,0,0.8,51.2,15.63,32.37
Switzerland,CHE,2020,0,0,0,1,46.53,20.79,31.68
Syria,SYR,2020,72.2,5,16.4,3.2,0,1.2,2
Taiwan,TWN,2020,0,0,0,35.813545,64.18645,0,0
Tajikistan,TJK,2020,69.125,30.875,0,0,0,0,0
Tanzania,TZA,2020,66.535995,33.464,0,0,0,0,0
