City,Region,Country,AirQuality,WaterPollution,AirQuality_norm,WaterPollution_norm,AirQuality_log,WaterPollution_log,EnvScore
Sarnia,Ontario,canada,70.58823529,50.0,0.7058823529,0.5,4.270930748873792,3.9318256327243257,20.58823529
Fargo,North Dakota,united states of america,100.0,0.0,1.0,0.0,4.61512051684126,0.0,100.0
Thunder Bay,Ontario,canada,87.5,34.375,0.875,0.34375,4.483002552013883,3.5660053559634015,53.125
Grand Forks,North Dakota,united states of america,87.5,37.5,0.875,0.375,4.483002552013883,3.6506582412937387,50.0
Brantford,Ontario,canada,75.0,43.33333333,0.75,0.4333333333,4.330733340286331,3.7917368394784563,31.666666669999998
Barrie,Ontario,canada,83.82352941,29.16666667,0.8382352941000001,0.2916666667,4.440572973767874,3.406737562148268,54.65686274000001
Oxford,England,united kingdom,78.75,26.5625,0.7875,0.265625,4.378896741664954,3.316456153207065,52.1875
Burlington,Ontario,canada,91.25,35.9375,0.9125,0.359375,4.524502282920636,3.609227295166317,55.3125
Belleville,Ontario,canada,88.88888889,20.0,0.8888888889000001,0.2,4.498574339734633,3.044522437723423,68.88888889
Port-au-Prince,Ouest,haiti,12.5,68.75,0.125,0.6875,2.6026896854443837,4.244917420701475,-56.25
New Orleans,Louisiana,united states of america,65.13157895,72.85714286,0.6513157895,0.7285714286,4.1916463778569995,4.3021327254918,-7.725563909999991
Jingdezhen,Jiangxi,people's republic of china,50.0,75.0,0.5,0.75,3.9318256327243257,4.330733340286331,-25.0
Foshan,Guangdong,people's republic of china,28.57142857,50.0,0.2857142857,0.5,3.3868086441617464,3.9318256327243257,-21.42857143
Kyoto,Kyoto Prefecture,japan,64.77272727,28.33333333,0.6477272727000001,0.2833333333,4.186205273231703,3.37872452569646,36.43939394
Johannesburg,Gauteng,south africa,42.75956284,57.36111111,0.42759562840000004,0.5736111111000001,3.7787101681186708,4.066649762369852,-14.601548270000002
Hiroshima,Hiroshima Prefecture,japan,79.16666667,25.0,0.7916666667,0.25,4.384107800919286,3.258096538021482,54.16666667
Kingston,Surrey County,jamaica,33.125,58.57142857,0.33125,0.5857142857000001,3.530030253505124,4.087176072719507,-25.446428570000002
Salzburg,Salzburg,austria,82.69230769,38.88888889,0.8269230769000001,0.38888888889999995,4.427147069926778,3.6860978111799145,43.80341880000001
Dayton,Ohio,united states of america,82.8125,33.33333333,0.828125,0.33333333330000003,4.428582161041898,3.5361166994644386,49.47916667
Albuquerque,New Mexico,united states of america,83.33333333,39.70588235,0.8333333333,0.39705882350000005,4.434777200019885,3.7063726114891993,43.62745098
Oklahoma City,Oklahoma,united states of america,88.33333333,31.73076923,0.8833333333000001,0.3173076923,4.492374691805433,3.4883155905283902,56.6025641
Brisbane,Queensland,australia,83.06878307,30.46448087,0.8306878307,0.3046448087,4.4316353098432,3.4488593181934997,52.60430219999999
Trinidad,Beni Department,bolivia,75.0,50.0,0.75,0.5,4.330733340286331,3.9318256327243257,25.0
Colombo,Western Province,sri lanka,45.13274336,62.73148148,0.4513274336,0.6273148148,3.83152296599438,4.1546786552508985,-17.59873812
Medina,Medina Province,saudi arabia,20.0,66.66666667,0.2,0.6666666667,3.044522437723423,4.214593690422939,-46.66666667
Osaka,Osaka Prefecture,japan,51.47058824,55.35714286,0.5147058824,0.5535714286000001,3.9602527886134795,4.031708991281313,-3.8865546200000054
Boise,Idaho,united states of america,68.93939394,32.5,0.6893939394,0.325,4.247629066170176,3.5115454388310208,36.43939394
Izmir,Izmir Province,turkey,47.08737864,58.60215054,0.4708737864,0.5860215054,3.87301974434245,4.087691656306238,-11.5147719
Lviv,Lviv Oblast,ukraine,51.86567164,49.23076923,0.5186567164,0.4923076923,3.9677541989179335,3.9166277717995803,2.6349024100000022
Minneapolis,Minnesota,united states of america,79.51388889,33.57142857,0.7951388889000001,0.3357142857,4.388429702337477,3.543027577060051,45.94246032
Bridgetown,Saint Michael,barbados,90.0,15.0,0.9,0.15,4.51085950651685,2.772588722239781,75.0
Puerto Montt,Los Lagos Region,chile,25.0,50.0,0.25,0.5,3.258096538021482,3.9318256327243257,-25.0
Salta,Salta Province,argentina,60.0,50.0,0.6,0.5,4.110873864173311,3.9318256327243257,10.0
Fribourg,canton of Fribourg,switzerland,92.85714286,25.0,0.9285714286,0.25,4.541773869459739,3.258096538021482,67.85714286
Aberdeen,Scotland,united kingdom,79.76190476,14.70588235,0.7976190475999999,0.1470588235,4.39150537860484,2.7540353141567677,65.05602241
Karaj,Alborz Province,iran,29.16666667,59.375,0.2916666667,0.59375,3.406737562148268,4.100575111972737,-30.20833333
Munger,Bihar,india,100.0,62.5,1.0,0.625,4.61512051684126,4.151039905898646,37.5
Salvador,Bahia,brazil,83.0,51.31578947,0.8300000000000001,0.5131578947,4.430816798843313,3.957298227419711,31.68421053
Tallahassee,Florida,united states of america,92.1875,41.66666667,0.921875,0.41666666669999997,4.534613592524957,3.7534179753296324,50.52083333
Bismarck,North Dakota,united states of america,95.83333333,50.0,0.9583333333,0.5,4.572991287589433,3.9318256327243257,45.83333333
Auckland,Auckland Region,new zealand,78.52348993,41.66666667,0.7852348993,0.41666666669999997,4.376052448834991,3.7534179753296324,36.85682326
Alajuela,Alajuela Province,costa rica,55.0,50.0,0.55,0.5,4.02535169073515,3.9318256327243257,5.0
Mariupol,Donetsk Oblast,ukraine,12.5,91.66666667,0.125,0.9166666667,2.6026896854443837,4.529008825058499,-79.16666667
Cleveland,Ohio,united states of america,66.66666667,54.54545455,0.6666666667,0.5454545455,4.214593690422939,4.017201686455058,12.121212119999996
Lublin,Lublin Voivodeship,poland,35.9375,41.66666667,0.359375,0.41666666669999997,3.609227295166317,3.7534179753296324,-5.729166669999998
Bloemfontein,Free State,south africa,45.83333333,62.5,0.45833333330000003,0.625,3.8465952000345163,4.151039905898646,-16.666666669999998
Port Vila,Shefa,vanuatu,75.0,70.0,0.75,0.7000000000000001,4.330733340286331,4.2626798770413155,5.0
Milwaukee,Wisconsin,united states of america,79.06976744,43.29268293,0.7906976744,0.4329268293,4.382898347621726,3.7908194925285166,35.77708451000001
Sapporo,Hokkaido Prefecture,japan,81.25,25.0,0.8125,0.25,4.409763389645481,3.258096538021482,56.25
Yangon,Yangon Region,myanmar,17.59259259,78.5,0.1759259259,0.785,2.922763253547958,4.375757021660286,-60.907407410000005
Nagasaki,Nagasaki Prefecture,japan,33.33333333,66.66666667,0.33333333330000003,0.6666666667,3.5361166994644386,4.214593690422939,-33.333333339999996
Yokohama,Kanagawa Prefecture,japan,75.0,29.16666667,0.75,0.2916666667,4.330733340286331,3.406737562148268,45.83333333
Columbia,South Carolina,united states of america,66.07142857,52.27272727,0.6607142857,0.5227272727,4.205758149571705,3.9754245167274473,13.798701299999998
Adana,Adana Province,turkey,55.0,12.5,0.55,0.125,4.02535169073515,2.6026896854443837,42.5
Santa Fe,New Mexico,united states of america,89.28571429,38.63636364,0.8928571429000001,0.3863636364,4.502979245139012,3.679746970642407,50.64935065
Helena,Montana,united states of america,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Suva,Central Division,fiji,57.5,58.75,0.5750000000000001,0.5875,4.069026754237811,4.09016919081162,-1.25
Maoming,Guangdong,people's republic of china,25.0,50.0,0.25,0.5,3.258096538021482,3.9318256327243257,-25.0
Liuzhou,Guangxi,people's republic of china,0.0,50.0,0.0,0.5,0.0,3.9318256327243257,-50.0
Cheyenne,Wyoming,united states of america,92.85714286,0.0,0.9285714286,0.0,4.541773869459739,0.0,92.85714286
Leeds,England,united kingdom,53.67647059,19.64285714,0.5367647059,0.1964285714,4.001433463137558,3.027369358358765,34.033613450000004
Bodo,Nordland,norway,100.0,0.0,1.0,0.0,4.61512051684126,0.0,100.0
Sochi,Krasnodar Krai,russia,75.0,42.85714286,0.75,0.4285714286,4.330733340286331,3.7809375985970304,32.14285714
Anchorage,Alaska,united states of america,90.0,18.75,0.9,0.1875,4.51085950651685,2.9831534913471307,71.25
Des Moines,Iowa,united states of america,82.5,38.33333333,0.8250000000000001,0.3833333333,4.42484663185681,3.6720723357128096,44.16666667
Hobart,Tasmania,australia,92.85714286,21.05263158,0.9285714286,0.2105263158,4.541773869459739,3.09343194080343,71.80451128
Manaus,Amazonas,brazil,31.25,46.42857143,0.3125,0.4642857143,3.4735180432417816,3.8592248198912955,-15.178571429999998
Porto Alegre,Rio Grande do Sul,brazil,54.66101695,59.25925926,0.5466101695,0.5925925926,4.019280026681825,4.098656241227001,-4.598242310000003
Norman,Oklahoma,united states of america,100.0,25.0,1.0,0.25,4.61512051684126,3.258096538021482,75.0
Buffalo,New York,united states of america,77.08333333,36.95652174,0.7708333333,0.3695652174,4.357776632407733,3.636441339933362,40.12681159
San Fernando,Ilocos Region,philippines,37.5,87.5,0.375,0.875,3.6506582412937387,4.483002552013883,-50.0
Bursa,Bursa Province,turkey,55.76923077,37.5,0.5576923077,0.375,4.038994467152486,3.6506582412937387,18.26923077
Carson City,Nevada,united states of america,100.0,50.0,1.0,0.5,4.61512051684126,3.9318256327243257,50.0
Topeka,Kansas,united states of america,81.25,56.25,0.8125,0.5625,4.409763389645481,4.047427642434349,25.0
Raleigh,North Carolina,united states of america,84.44444444,31.25,0.8444444444,0.3125,4.447866392117409,3.4735180432417816,53.19444444
Aleppo,Aleppo Governorate,syria,25.0,55.0,0.25,0.55,3.258096538021482,4.02535169073515,-30.0
Bydgoszcz,Kuyavian-Pomeranian Voivodeship,poland,34.52380952,42.64705882,0.3452380952,0.4264705882,3.570203162373099,3.776135899030302,-8.123249299999998
Nottingham,England,united kingdom,54.6875,38.63636364,0.546875,0.3863636364,4.019755705231028,3.679746970642407,16.05113636
Linz,Upper Austria,austria,61.76470588,27.5,0.6176470588,0.275,4.139392907208049,3.349904087274605,34.26470588
St. George's,Saint George Parish,grenada,55.0,25.0,0.55,0.25,4.02535169073515,3.258096538021482,30.0
